category,original_url,final_url,status_code,is_alive,auth_wall,content_type,last_modified,html_title,detected_year,expected_year,freshness,suggested_replacement,suggestion_reason
Conference Registration and Travel at UCF,https://studentgovernment.ucf.edu/wp-content/uploads/sites/4/2024/10/CRT-Spending-Policy-24-25-Title-VIII-Appendix-A.pdf,https://studentgovernment.ucf.edu/wp-content/uploads/sites/4/2024/10/CRT-Spending-Policy-24-25-Title-VIII-Appendix-A.pdf,200,yes,no,application/pdf,"Wed, 23 Oct 2024 15:07:34 GMT",,2024-2025,2025-2026,outdated,,
Conference Registration and Travel at UCF,https://knightconnect.campuslabs.com/engage/submitter/form/start/636439,https://knightconnect.campuslabs.com/engage/submitter/form/start/636439,200,yes,no,; charset=utf-8,,,,2025-2026,unknown,,
Conference Registration and Travel at UCF,https://knightconnect.campuslabs.com/engage/submitter/form/start/636440,https://knightconnect.campuslabs.com/engage/submitter/form/start/636440,200,yes,no,; charset=utf-8,,,,2025-2026,unknown,,
Conference Registration and Travel at UCF,https://webcourses.ucf.edu/enroll/4FCC68,https://login.microsoftonline.com/bb932f15-ef38-42ba-91fc-f3c59d5dd1f1/saml2?SAMLRequest=fZJPT%2BMwEMXvfIrIdydx%2FhRitZUKFaISLBUtHLggxxmDpcTueuyF%2FfbrJiDgsFzH8%2BY3743nKIb%2BwFfBv5g7%2BB0AffI29Ab5%2BLAgwRluBWrkRgyA3Eu%2BW91c8yLN%2BcFZb6XtyRfJzwqBCM5ra0iyWS%2FIU11BW7azgub52YxWea1oI6qGngqmyjPWlKcgSPIADqNmQeKIKEQMsDHohfGxlBc1ZTktZntW8briZflIknX0oY3wo%2BrF%2BwPyLOvtszbpoKWzaJW3ptcGUmmHrG2bslCsphCptCpaQRumJFWlrJuu7jqmWHZ0V5Bk9WHhwhoMA7gduD9awv3d9SfqFVppg0PANEiVQhcm%2BjiEJNv34M616bR5%2FjmzdmpCfrXfb%2Bn2drcny%2FlxDh%2BTcMsj9BuzkKmO%2BbggfXCTw3H5efZVNp9O%2FysCN%2But7bX8m1xaNwj%2F%2F31YysaK7qgaW3kweACplYYuZtP39vXCgfCwIJEPJFtO0O9fbHnyDw%3D%3D,200,yes,no,text/html; charset=utf-8,,,,2025-2026,unknown,,
A2O Scholarships at UCF,https://ucf.academicworks.com,https://ucf.academicworks.com/,200,yes,no,text/html; charset=utf-8,,,,2025-2026,unknown,,
Dental care at UCF,https://studenthealth.ucf.edu/services/dental/,https://studenthealth.ucf.edu/services/dental/,200,yes,no,text/html; charset=UTF-8,,,,2025-2026,unknown,,
Legal DUI at UCF,http://sls.sdes.ucf.edu/,https://sls.sswb.ucf.edu/,200,yes,no,text/html; charset=UTF-8,,,,2025-2026,unknown,,
Lawyer,https://sls.sswb.ucf.edu/info/,https://sls.sswb.ucf.edu/info/,200,yes,no,text/html; charset=UTF-8,,,,2025-2026,unknown,,
Outdoor Adventure Challenge Course at UCF,https://ucfrwc.org/booking/54e23deb-011a-4743-94df-b986b042dab1,https://ucfrwc.org/Error/NotFound,200,yes,no,text/html; charset=utf-8,,,,2025-2026,unknown,,
Outdoor Adventure Challenge Course at UCF,https://rwc.sswb.ucf.edu/programs/outdoor-adventure/challenge-course/,https://rwc.sswb.ucf.edu/programs/outdoor-adventure/challenge-course/,200,yes,no,text/html; charset=UTF-8,,,,2025-2026,unknown,,
Reservations at Recreation and Wellness Center,http://ucf.qualtrics.com/jfe/form/SV_5uq5qcKL9OIWd49,https://ucf.qualtrics.com/jfe/form/SV_5uq5qcKL9OIWd49,200,yes,no,text/plain; charset=utf-8,,,,2025-2026,unknown,,
Sign up for intramural sports at UCF,https://imleagues.com/spa/intramural/136f2fd71bae48bc8ee2f37e418505d9/home,https://imleagues.com/spa/intramural/136f2fd71bae48bc8ee2f37e418505d9/home,200,yes,no,text/html; charset=utf-8,,,,2025-2026,unknown,,
Reserve Outdoor Equipment at the Outdoor Adventure,https://ucf.qualtrics.com/jfe/form/SV_ewAQOlYlr2Xg1A9,https://ucf.qualtrics.com/jfe/form/SV_ewAQOlYlr2Xg1A9,200,yes,no,text/plain; charset=utf-8,,,,2025-2026,unknown,,
Reserve Outdoor Equipment at the Outdoor Adventure,https://rwc.sswb.ucf.edu/wp-content/uploads/sites/32/2020/02/OAC-Equipment-Rental-Fees-revised-06.2019.pdf,https://rwc.sswb.ucf.edu/wp-content/uploads/sites/32/2020/02/OAC-Equipment-Rental-Fees-revised-06.2019.pdf,200,yes,no,application/pdf,"Tue, 16 Apr 2024 05:10:03 GMT",,2020-2021,2025-2026,outdated,,
Reserve Outdoor Equipment at the Outdoor Adventure,https://rwc.sswb.ucf.edu/facilities/outdoor-adventure-center/,https://rwc.sswb.ucf.edu/facilities/outdoor-adventure-center/,200,yes,no,text/html; charset=UTF-8,,,,2025-2026,unknown,,
Ticket Center at UCF,https://ticketcenter.sdes.ucf.edu/,,"error: HTTPSConnectionPool(host='ticketcenter.sdes.ucf.edu', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DA9171310>, 'Connection to ticketcenter.sdes.ucf.edu timed out. (connect timeout=25)'))",no,no,,,,,2025-2026,unknown,,
